nota_fiscal,tipo_nf,recebedor,entregador,motivo_de_devolucao,volume,caixas_com_produto,caixas_vazias,garrafeiras,divergencia,observacao_da_nf,observacoes_do_protocolo,datahora,carro_de_entrega,remessa,inicio,fim,tempo,3pl
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,,,#N/A
