mesano,caixas_enviadas,caixas_retornadas,pct_retorno,objetivo_mes
2024-01-01,14873,9732.0,0.6543400793383984,10411.099999999999
2024-02-01,14468,9439.0,0.6524053082665192,10127.599999999999
2024-03-01,14431,10143.0,0.7028618945326034,10101.699999999999
2024-04-01,16049,7059.0,0.43984048850395663,11234.3
2024-05-01,14778,6506.0,0.4402490188117472,10344.599999999999
2024-06-01,14675,5743.0,0.3913458262350937,10272.5
2024-07-01,13965,3947.0,0.28263515932688865,9775.5
2024-08-01,12756,4826.0,0.3783317654437128,8929.199999999999
2024-09-01,13452,6462.0,0.48037466547725244,9416.4
2024-10-01,14161,7571.6,0.5346797542546431,9912.699999999999
2024-11-01,9649,6961.0,0.7214219090061146,6754.299999999999
2024-12-01,12527,7201.0,0.5748383491658019,8768.9
